studentenrollmentbyell2008-2021
District,FIPS,Year,Learner,Variable,Type,Value
Capitol Region Education Council,,2019-2020,English Language Learner,Student Enrollment,Number,646
Capitol Region Education Council,,2020-2021,Non-English Language Learner,Student Enrollment,Number,8116
Capitol Region Education Council,,2020-2021,English Language Learner,Student Enrollment,Number,683
Chaplin School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,210
Chaplin School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Chaplin School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,178
Chaplin School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Chaplin School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,173
Chaplin School District,,2009-2010,English Language Learner,Student Enrollment,Number,0
Chaplin School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,187
Chaplin School District,,2010-2011,English Language Learner,Student Enrollment,Number,0
Chaplin School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,182
Chaplin School District,,2011-2012,English Language Learner,Student Enrollment,Number,0
Chaplin School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,176
Chaplin School District,,2015-2016,English Language Learner,Student Enrollment,Number,0
Chaplin School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,158
Chaplin School District,,2016-2017,English Language Learner,Student Enrollment,Number,0
Chaplin School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,148
Chaplin School District,,2017-2018,English Language Learner,Student Enrollment,Number,0
Chaplin School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Chaplin School District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Charter School for Young Children on Asylum Hill,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2007-2008,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2008-2009,Non-English Language Learner,Student Enrollment,Number,136
Charter School for Young Children on Asylum Hill,,2008-2009,English Language Learner,Student Enrollment,Number,0
Charter School for Young Children on Asylum Hill,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Charter School for Young Children on Asylum Hill,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Charter School for Young Children on Asylum Hill,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Charter School for Young Children on Asylum Hill,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Charter School for Young Children on Asylum Hill,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2011-2012,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2012-2013,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2013-2014,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2014-2015,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2015-2016,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2016-2017,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2017-2018,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2018-2019,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2019-2020,English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-6666
Charter School for Young Children on Asylum Hill,,2020-2021,English Language Learner,Student Enrollment,Number,-6666
Cheshire School District,900914160,2007-2008,Non-English Language Learner,Student Enrollment,Number,5102
Cheshire School District,900914160,2007-2008,English Language Learner,Student Enrollment,Number,42
Cheshire School District,900914160,2008-2009,Non-English Language Learner,Student Enrollment,Number,4991
Cheshire School District,900914160,2008-2009,English Language Learner,Student Enrollment,Number,41
Cheshire School District,900914160,2009-2010,Non-English Language Learner,Student Enrollment,Number,4944
Cheshire School District,900914160,2009-2010,English Language Learner,Student Enrollment,Number,27
Cheshire School District,900914160,2010-2011,Non-English Language Learner,Student Enrollment,Number,4782
Cheshire School District,900914160,2010-2011,English Language Learner,Student Enrollment,Number,43
Cheshire School District,900914160,2011-2012,Non-English Language Learner,Student Enrollment,Number,4764
Cheshire School District,900914160,2011-2012,English Language Learner,Student Enrollment,Number,45
Cheshire School District,900914160,2012-2013,Non-English Language Learner,Student Enrollment,Number,4642
Cheshire School District,900914160,2012-2013,English Language Learner,Student Enrollment,Number,32
Cheshire School District,900914160,2013-2014,Non-English Language Learner,Student Enrollment,Number,4590
Cheshire School District,900914160,2013-2014,English Language Learner,Student Enrollment,Number,30
Cheshire School District,900914160,2014-2015,Non-English Language Learner,Student Enrollment,Number,4501
Cheshire School District,900914160,2014-2015,English Language Learner,Student Enrollment,Number,50
Cheshire School District,900914160,2015-2016,Non-English Language Learner,Student Enrollment,Number,4375
Cheshire School District,900914160,2015-2016,English Language Learner,Student Enrollment,Number,38
Cheshire School District,900914160,2016-2017,Non-English Language Learner,Student Enrollment,Number,4320
Cheshire School District,900914160,2016-2017,English Language Learner,Student Enrollment,Number,38
Cheshire School District,900914160,2017-2018,Non-English Language Learner,Student Enrollment,Number,4245
Cheshire School District,900914160,2017-2018,English Language Learner,Student Enrollment,Number,51
Cheshire School District,900914160,2018-2019,Non-English Language Learner,Student Enrollment,Number,4234
Cheshire School District,900914160,2018-2019,English Language Learner,Student Enrollment,Number,50
Cheshire School District,900914160,2019-2020,Non-English Language Learner,Student Enrollment,Number,4145
Cheshire School District,900914160,2019-2020,English Language Learner,Student Enrollment,Number,54
Cheshire School District,900914160,2020-2021,Non-English Language Learner,Student Enrollment,Number,4047
Cheshire School District,900914160,2020-2021,English Language Learner,Student Enrollment,Number,75
Chester School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,341
Chester School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Chester School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,319
Chester School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Chester School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2010-2011,English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,252
Chester School District,,2012-2013,English Language Learner,Student Enrollment,Number,0
Chester School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,228
Chester School District,,2013-2014,English Language Learner,Student Enrollment,Number,0
Chester School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Chester School District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Clinton School District,900715350,2007-2008,Non-English Language Learner,Student Enrollment,Number,2077
Clinton School District,900715350,2007-2008,English Language Learner,Student Enrollment,Number,36
Clinton School District,900715350,2008-2009,Non-English Language Learner,Student Enrollment,Number,2056
Clinton School District,900715350,2008-2009,English Language Learner,Student Enrollment,Number,35
Clinton School District,900715350,2009-2010,Non-English Language Learner,Student Enrollment,Number,1993
Clinton School District,900715350,2009-2010,English Language Learner,Student Enrollment,Number,42
Clinton School District,900715350,2010-2011,Non-English Language Learner,Student Enrollment,Number,2015
Clinton School District,900715350,2010-2011,English Language Learner,Student Enrollment,Number,34
Clinton School District,900715350,2011-2012,Non-English Language Learner,Student Enrollment,Number,1974
Clinton School District,900715350,2011-2012,English Language Learner,Student Enrollment,Number,38
Clinton School District,900715350,2012-2013,Non-English Language Learner,Student Enrollment,Number,1937
Clinton School District,900715350,2012-2013,English Language Learner,Student Enrollment,Number,52
Clinton School District,900715350,2013-2014,Non-English Language Learner,Student Enrollment,Number,1896
Clinton School District,900715350,2013-2014,English Language Learner,Student Enrollment,Number,65
Clinton School District,900715350,2014-2015,Non-English Language Learner,Student Enrollment,Number,1817
Clinton School District,900715350,2014-2015,English Language Learner,Student Enrollment,Number,71
Clinton School District,900715350,2015-2016,Non-English Language Learner,Student Enrollment,Number,1750
Clinton School District,900715350,2015-2016,English Language Learner,Student Enrollment,Number,72
Clinton School District,900715350,2016-2017,Non-English Language Learner,Student Enrollment,Number,1706
Clinton School District,900715350,2016-2017,English Language Learner,Student Enrollment,Number,84
Clinton School District,900715350,2017-2018,Non-English Language Learner,Student Enrollment,Number,1683
Clinton School District,900715350,2017-2018,English Language Learner,Student Enrollment,Number,84
Clinton School District,900715350,2018-2019,Non-English Language Learner,Student Enrollment,Number,1640
Clinton School District,900715350,2018-2019,English Language Learner,Student Enrollment,Number,104
Clinton School District,900715350,2019-2020,Non-English Language Learner,Student Enrollment,Number,1579
Clinton School District,900715350,2019-2020,English Language Learner,Student Enrollment,Number,103
Clinton School District,900715350,2020-2021,Non-English Language Learner,Student Enrollment,Number,1462
Clinton School District,900715350,2020-2021,English Language Learner,Student Enrollment,Number,108
Colchester School District,901115910,2007-2008,Non-English Language Learner,Student Enrollment,Number,3241
Colchester School District,901115910,2007-2008,English Language Learner,Student Enrollment,Number,21
Colchester School District,901115910,2008-2009,Non-English Language Learner,Student Enrollment,Number,3177
Colchester School District,901115910,2008-2009,English Language Learner,Student Enrollment,Number,20
Colchester School District,901115910,2009-2010,Non-English Language Learner,Student Enrollment,Number,3199
Colchester School District,901115910,2009-2010,English Language Learner,Student Enrollment,Number,29
Colchester School District,901115910,2010-2011,Non-English Language Learner,Student Enrollment,Number,3078
Colchester School District,901115910,2010-2011,English Language Learner,Student Enrollment,Number,23
Colchester School District,901115910,2011-2012,Non-English Language Learner,Student Enrollment,Number,3008
Colchester School District,901115910,2011-2012,English Language Learner,Student Enrollment,Number,23
Colchester School District,901115910,2012-2013,Non-English Language Learner,Student Enrollment,Number,2866
Colchester School District,901115910,2012-2013,English Language Learner,Student Enrollment,Number,27
Colchester School District,901115910,2013-2014,Non-English Language Learner,Student Enrollment,Number,2722
Colchester School District,901115910,2013-2014,English Language Learner,Student Enrollment,Number,22
Colchester School District,901115910,2014-2015,Non-English Language Learner,Student Enrollment,Number,2635
Colchester School District,901115910,2014-2015,English Language Learner,Student Enrollment,Number,19
Colchester School District,901115910,2015-2016,Non-English Language Learner,Student Enrollment,Number,2542
Colchester School District,901115910,2015-2016,English Language Learner,Student Enrollment,Number,21
Colchester School District,901115910,2016-2017,Non-English Language Learner,Student Enrollment,Number,2466
Colchester School District,901115910,2016-2017,English Language Learner,Student Enrollment,Number,22
Colchester School District,901115910,2017-2018,Non-English Language Learner,Student Enrollment,Number,2438
Colchester School District,901115910,2017-2018,English Language Learner,Student Enrollment,Number,14
Colchester School District,901115910,2018-2019,Non-English Language Learner,Student Enrollment,Number,2309
Colchester School District,901115910,2018-2019,English Language Learner,Student Enrollment,Number,12
Colchester School District,901115910,2019-2020,Non-English Language Learner,Student Enrollment,Number,2310
Colchester School District,901115910,2019-2020,English Language Learner,Student Enrollment,Number,12
Colchester School District,901115910,2020-2021,Non-English Language Learner,Student Enrollment,Number,2181
Colchester School District,901115910,2020-2021,English Language Learner,Student Enrollment,Number,12
Colebrook School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,123
Colebrook School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,116
Colebrook School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,119
Colebrook School District,,2009-2010,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,112
Colebrook School District,,2010-2011,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,99
Colebrook School District,,2011-2012,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,104
Colebrook School District,,2012-2013,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,99
Colebrook School District,,2013-2014,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,91
Colebrook School District,,2014-2015,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,84
Colebrook School District,,2015-2016,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,78
Colebrook School District,,2016-2017,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,87
Colebrook School District,,2017-2018,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,84
Colebrook School District,,2018-2019,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,74
Colebrook School District,,2019-2020,English Language Learner,Student Enrollment,Number,0
Colebrook School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,75
Colebrook School District,,2020-2021,English Language Learner,Student Enrollment,Number,0
Columbia School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2007-2008,English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2008-2009,English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2009-2010,English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,545
Columbia School District,,2010-2011,English Language Learner,Student Enrollment,Number,0
Columbia School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,530
Columbia School District,,2011-2012,English Language Learner,Student Enrollment,Number,0
Columbia School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,511
Columbia School District,,2012-2013,English Language Learner,Student Enrollment,Number,0
Columbia School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,474
Columbia School District,,2013-2014,English Language Learner,Student Enrollment,Number,0
Columbia School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,458
Columbia School District,,2014-2015,English Language Learner,Student Enrollment,Number,0
Columbia School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,454
Columbia School District,,2015-2016,English Language Learner,Student Enrollment,Number,0
Columbia School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,434
Columbia School District,,2016-2017,English Language Learner,Student Enrollment,Number,0
Columbia School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2017-2018,English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2018-2019,English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2019-2020,English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,-9999
Columbia School District,,2020-2021,English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,152
Common Ground High School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Common Ground High School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,147
Common Ground High School District,,2008-2009,English Language Learner,Student Enrollment,Number,8
Common Ground High School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,153
Common Ground High School District,,2009-2010,English Language Learner,Student Enrollment,Number,7
Common Ground High School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,157
Common Ground High School District,,2010-2011,English Language Learner,Student Enrollment,Number,6
Common Ground High School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2011-2012,English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Common Ground High School District,,2017-2018,Non-English Language Learner,Student Enrollment,Number,195
Common Ground High School District,,2017-2018,English Language Learner,Student Enrollment,Number,7
Common Ground High School District,,2018-2019,Non-English Language Learner,Student Enrollment,Number,204
Common Ground High School District,,2018-2019,English Language Learner,Student Enrollment,Number,12
Common Ground High School District,,2019-2020,Non-English Language Learner,Student Enrollment,Number,212
Common Ground High School District,,2019-2020,English Language Learner,Student Enrollment,Number,11
Common Ground High School District,,2020-2021,Non-English Language Learner,Student Enrollment,Number,225
Common Ground High School District,,2020-2021,English Language Learner,Student Enrollment,Number,11
Connecticut,9,2007-2008,Non-English Language Learner,Student Enrollment,Number,544760
Connecticut,9,2007-2008,English Language Learner,Student Enrollment,Number,30088
Connecticut,9,2008-2009,Non-English Language Learner,Student Enrollment,Number,541398
Connecticut,9,2008-2009,English Language Learner,Student Enrollment,Number,29648
Connecticut,9,2009-2010,Non-English Language Learner,Student Enrollment,Number,537662
Connecticut,9,2009-2010,English Language Learner,Student Enrollment,Number,30130
Connecticut,9,2010-2011,Non-English Language Learner,Student Enrollment,Number,533864
Connecticut,9,2010-2011,English Language Learner,Student Enrollment,Number,30635
Connecticut,9,2011-2012,Non-English Language Learner,Student Enrollment,Number,528075
Connecticut,9,2011-2012,English Language Learner,Student Enrollment,Number,30302
Connecticut,9,2012-2013,Non-English Language Learner,Student Enrollment,Number,523645
Connecticut,9,2012-2013,English Language Learner,Student Enrollment,Number,31159
Connecticut,9,2013-2014,Non-English Language Learner,Student Enrollment,Number,518265
Connecticut,9,2013-2014,English Language Learner,Student Enrollment,Number,31612
Connecticut,9,2014-2015,Non-English Language Learner,Student Enrollment,Number,511428
Connecticut,9,2014-2015,English Language Learner,Student Enrollment,Number,34919
Connecticut,9,2015-2016,Non-English Language Learner,Student Enrollment,Number,506668
Connecticut,9,2015-2016,English Language Learner,Student Enrollment,Number,35147
Connecticut,9,2016-2017,Non-English Language Learner,Student Enrollment,Number,502105
Connecticut,9,2016-2017,English Language Learner,Student Enrollment,Number,36788
Connecticut,9,2017-2018,Non-English Language Learner,Student Enrollment,Number,496657
Connecticut,9,2017-2018,English Language Learner,Student Enrollment,Number,38368
Connecticut,9,2018-2019,Non-English Language Learner,Student Enrollment,Number,490171
Connecticut,9,2018-2019,English Language Learner,Student Enrollment,Number,40441
Connecticut,9,2019-2020,Non-English Language Learner,Student Enrollment,Number,484261
Connecticut,9,2019-2020,English Language Learner,Student Enrollment,Number,43568
Connecticut,9,2020-2021,Non-English Language Learner,Student Enrollment,Number,470605
Connecticut,9,2020-2021,English Language Learner,Student Enrollment,Number,42474
Connecticut Technical High School System,,2007-2008,Non-English Language Learner,Student Enrollment,Number,9650
Connecticut Technical High School System,,2007-2008,English Language Learner,Student Enrollment,Number,323
Connecticut Technical High School System,,2008-2009,Non-English Language Learner,Student Enrollment,Number,9925
Connecticut Technical High School System,,2008-2009,English Language Learner,Student Enrollment,Number,332
Connecticut Technical High School System,,2009-2010,Non-English Language Learner,Student Enrollment,Number,10182
Connecticut Technical High School System,,2009-2010,English Language Learner,Student Enrollment,Number,287
Connecticut Technical High School System,,2010-2011,Non-English Language Learner,Student Enrollment,Number,10370
Connecticut Technical High School System,,2010-2011,English Language Learner,Student Enrollment,Number,273
Connecticut Technical High School System,,2011-2012,Non-English Language Learner,Student Enrollment,Number,10380
Connecticut Technical High School System,,2011-2012,English Language Learner,Student Enrollment,Number,276
Connecticut Technical High School System,,2012-2013,Non-English Language Learner,Student Enrollment,Number,10371
Connecticut Technical High School System,,2012-2013,English Language Learner,Student Enrollment,Number,280
Connecticut Technical High School System,,2013-2014,Non-English Language Learner,Student Enrollment,Number,10411
Connecticut Technical High School System,,2013-2014,English Language Learner,Student Enrollment,Number,287
Connecticut Technical High School System,,2014-2015,Non-English Language Learner,Student Enrollment,Number,10430
Connecticut Technical High School System,,2014-2015,English Language Learner,Student Enrollment,Number,360
Connecticut Technical High School System,,2015-2016,Non-English Language Learner,Student Enrollment,Number,10336
Connecticut Technical High School System,,2015-2016,English Language Learner,Student Enrollment,Number,374
Connecticut Technical High School System,,2016-2017,Non-English Language Learner,Student Enrollment,Number,10172
Connecticut Technical High School System,,2016-2017,English Language Learner,Student Enrollment,Number,384
Connecticut Technical High School System,,2017-2018,Non-English Language Learner,Student Enrollment,Number,10354
Connecticut Technical High School System,,2017-2018,English Language Learner,Student Enrollment,Number,375
Connecticut Technical High School System,,2018-2019,Non-English Language Learner,Student Enrollment,Number,10242
Connecticut Technical High School System,,2018-2019,English Language Learner,Student Enrollment,Number,405
Connecticut Technical High School System,,2019-2020,Non-English Language Learner,Student Enrollment,Number,10510
Connecticut Technical High School System,,2019-2020,English Language Learner,Student Enrollment,Number,485
Connecticut Technical High School System,,2020-2021,Non-English Language Learner,Student Enrollment,Number,10867
Connecticut Technical High School System,,2020-2021,English Language Learner,Student Enrollment,Number,471
Cooperative Educational Services,,2007-2008,Non-English Language Learner,Student Enrollment,Number,675
Cooperative Educational Services,,2007-2008,English Language Learner,Student Enrollment,Number,0
Cooperative Educational Services,,2008-2009,Non-English Language Learner,Student Enrollment,Number,754
Cooperative Educational Services,,2008-2009,English Language Learner,Student Enrollment,Number,0
Cooperative Educational Services,,2009-2010,Non-English Language Learner,Student Enrollment,Number,778
Cooperative Educational Services,,2009-2010,English Language Learner,Student Enrollment,Number,0
Cooperative Educational Services,,2010-2011,Non-English Language Learner,Student Enrollment,Number,787
Cooperative Educational Services,,2010-2011,English Language Learner,Student Enrollment,Number,0
Cooperative Educational Services,,2011-2012,Non-English Language Learner,Student Enrollment,Number,813
Cooperative Educational Services,,2011-2012,English Language Learner,Student Enrollment,Number,0
Cooperative Educational Services,,2012-2013,Non-English Language Learner,Student Enrollment,Number,838
Cooperative Educational Services,,2012-2013,English Language Learner,Student Enrollment,Number,0
Cooperative Educational Services,,2013-2014,Non-English Language Learner,Student Enrollment,Number,822
Cooperative Educational Services,,2013-2014,English Language Learner,Student Enrollment,Number,0
Cooperative Educational Services,,2014-2015,Non-English Language Learner,Student Enrollment,Number,849
Cooperative Educational Services,,2014-2015,English Language Learner,Student Enrollment,Number,0
Cooperative Educational Services,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Cooperative Educational Services,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Cooperative Educational Services,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
Cooperative Educational Services,,2016-2017,English Language Learner,Student Enrollment,Number,-9999
Cooperative Educational Services,,2017-2018,Non-English Language Learner,Student Enrollment,Number,825
Cooperative Educational Services,,2017-2018,English Language Learner,Student Enrollment,Number,9
Cooperative Educational Services,,2018-2019,Non-English Language Learner,Student Enrollment,Number,807
Cooperative Educational Services,,2018-2019,English Language Learner,Student Enrollment,Number,32
Cooperative Educational Services,,2019-2020,Non-English Language Learner,Student Enrollment,Number,816
Cooperative Educational Services,,2019-2020,English Language Learner,Student Enrollment,Number,43
Cooperative Educational Services,,2020-2021,Non-English Language Learner,Student Enrollment,Number,753
Cooperative Educational Services,,2020-2021,English Language Learner,Student Enrollment,Number,36
Cornwall School District,,2007-2008,Non-English Language Learner,Student Enrollment,Number,129
Cornwall School District,,2007-2008,English Language Learner,Student Enrollment,Number,0
Cornwall School District,,2008-2009,Non-English Language Learner,Student Enrollment,Number,122
Cornwall School District,,2008-2009,English Language Learner,Student Enrollment,Number,0
Cornwall School District,,2009-2010,Non-English Language Learner,Student Enrollment,Number,122
Cornwall School District,,2009-2010,English Language Learner,Student Enrollment,Number,0
Cornwall School District,,2010-2011,Non-English Language Learner,Student Enrollment,Number,115
Cornwall School District,,2010-2011,English Language Learner,Student Enrollment,Number,0
Cornwall School District,,2011-2012,Non-English Language Learner,Student Enrollment,Number,106
Cornwall School District,,2011-2012,English Language Learner,Student Enrollment,Number,0
Cornwall School District,,2012-2013,Non-English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2012-2013,English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2013-2014,Non-English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2013-2014,English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2014-2015,Non-English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2014-2015,English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2015-2016,Non-English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2015-2016,English Language Learner,Student Enrollment,Number,-9999
Cornwall School District,,2016-2017,Non-English Language Learner,Student Enrollment,Number,-9999
